,Ano de referência do Coleta,Grande área do conhecimento do programa de pós-graduação,Área de conhecimento do programa de pós-graduação,Área básica do conhecimento do programa de pós-graduação,Subárea do conhecimento do programa de pós-graduação,Especialidade do conhecimento programa de pós-graduação,Código identificador da área de avaliação do programa de pós-graduação,Área de avaliação do programa de pós-graduação,Código da Instituição de Ensino Superior na CAPES,Código e-Mec da Instituição de Ensino Superior,Sigla da Instituição de Ensino Superior do programa de pós-graduação,Instituição de Ensino Superior do programa de pós-graduação,Indicador de programa de pós-graduação em rede,"Siglas das Instituições que compõem o programa em rede, quando for o caso",Status Jurídico da Instituição de Ensino Superior,Dependência administrativa da Instituição de Ensino Superior,Organização acadêmica da Instituição de Ensino Superior,Grande Região onde está localizado o programa,Sigla da Unidade da Federação do programa,Município sede do programa de pós-graduação,Modalidade do programa de pós-graduação,Código do programa de pós-graduação,Nome do programa de pós-graduação,Nome do programa de pós-graduação em inglês,Nível do programa de pós-graduação,Nota/Conceito do programa de pós-graduação,Ano de início do programa de pós-graduação,Ano de início de cada curso que compõe o programa,Situação do programa no ano de referência
190,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016008P3,LETRAS: LINGÜÍSTICA E TEORIA LITERÁRIA,GRADUATE PROGRAM OF LINGUISTICS AND LITERATURE,MESTRADO/DOUTORADO,5,1987,1987/2013,EM FUNCIONAMENTO
342,2021,CIÊNCIAS HUMANAS,SOCIOLOGIA,SOCIOLOGIA,NÃO SE APLICA,NÃO SE APLICA,34,SOCIOLOGIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010011P9,CIÊNCIAS SOCIAIS,GRADUATE PROGRAM OF SOCIAL SCIENCES,MESTRADO/DOUTORADO,4,2003,2003/2011,EM FUNCIONAMENTO
38,2021,CIÊNCIAS BIOLÓGICAS,IMUNOLOGIA,IMUNOLOGIA,NÃO SE APLICA,NÃO SE APLICA,9,CIÊNCIAS BIOLÓGICAS III,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015034P6,IMUNOLOGIA BÁSICA E APLICADA,GRADUATE PROGRAM ON BASIC AND APPLIED IMMUNOLOGY,MESTRADO/DOUTORADO,4,2009,2009/2014,EM FUNCIONAMENTO
3,2021,CIÊNCIAS HUMANAS,PSICOLOGIA,PSICOLOGIA,NÃO SE APLICA,NÃO SE APLICA,37,PSICOLOGIA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018009P6,PSICOLOGIA,GRADUATE PROGRAM PSYCOLOGY,MESTRADO,3,2009,2009,EM FUNCIONAMENTO
173,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016043P3,HISTÓRIA,GRADUATE STUDIES IN HISTORY,MESTRADO/DOUTORADO,5,2004,2004/2011,EM FUNCIONAMENTO
374,2021,CIÊNCIAS HUMANAS,FILOSOFIA,FILOSOFIA,NÃO SE APLICA,NÃO SE APLICA,33,FILOSOFIA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014015P7,FILOSOFIA,GRADUATE STUDIES IN PHILOSOPHY,MESTRADO/DOUTORADO,4,2008,2008/2020,EM FUNCIONAMENTO
104,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,ACADÊMICO,13001019042P1,SAÚDE E BIODIVERSIDADE,HEALTH AND BIODIVERSITY,MESTRADO,A,2021,2021,EM FUNCIONAMENTO
396,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,21001014,5,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,PI,TERESINA,ACADÊMICO,21001014075P0,SAÚDE E COMUNIDADE,HEALTH AND COMMUNITY PROGRAM,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
290,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,ACADÊMICO,16003012157P4,ENSINO EM CIÊNCIAS E SAÚDE,HEALTH AND SCIENCES EDUCATION,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
33,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,SIM,UNIR;EMBRAPA-CPAFAC,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011008P2,SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL,HEALTH AND SUSTAINABLE ANIMAL PRODUCTION IN THE WESTERN AMAZON,MESTRADO/DOUTORADO,4,2014,2014/2017,EM FUNCIONAMENTO
337,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,NÃO SE APLICA,NÃO SE APLICA,45,INTERDISCIPLINAR,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,IMPERATRIZ,ACADÊMICO,20001010050P4,SAÚDE E TECNOLOGIA,HEALTH AND TECHNOLOGY,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
199,2021,CIÊNCIAS DA SAÚDE,MEDICINA,ENDOCRINOLOGIA,CLÍNICA MÉDICA,ENDOCRINOLOGIA,15,MEDICINA I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016167P4,ATENÇÃO E ESTUDO CLÍNICO NO DIABETES,HEALTH CARE AND CLINICAL TRIALS IN DIABETES,MESTRADO PROFISSIONAL,A,2020,2020,EM FUNCIONAMENTO
244,2021,MULTIDISCIPLINAR,ENSINO,ENSINO,NÃO SE APLICA,NÃO SE APLICA,46,ENSINO,15006018,38,UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15006018006P2,ENSINO EM SAÚDE NA AMAZÔNIA,HEALTH EDUCATION IN THE AMAZON,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,2012,2012,EM FUNCIONAMENTO
204,2021,CIÊNCIAS DA SAÚDE,MEDICINA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,CLÍNICA MÉDICA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,16,MEDICINA II,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016064P0,SAÚDE NA AMAZÔNIA,HEALTH IN AMAZON,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
252,2021,CIÊNCIAS DA SAÚDE,MEDICINA,MEDICINA,NÃO SE APLICA,NÃO SE APLICA,15,MEDICINA I,15010015,15059,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,SANTARÉM,ACADÊMICO,15010015073P5,CIÊNCIAS DA SAÚDE,HEALTH SCIENCES,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
125,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012004P5,CIÊNCIAS DA SAÚDE,HEALTH SCIENCES,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
69,2021,CIÊNCIAS DA SAÚDE,MEDICINA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,CLÍNICA MÉDICA,DOENÇAS INFECCIOSAS E PARASITÁRIAS,16,MEDICINA II,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015039P8,CIÊNCIAS DA SAÚDE,HEALTH SCIENCES,MESTRADO,3,2013,2013,EM FUNCIONAMENTO
318,2021,CIÊNCIAS DA SAÚDE,MEDICINA,CLÍNICA MÉDICA,CLÍNICA MÉDICA,NÃO SE APLICA,15,MEDICINA I,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010009P4,CIÊNCIAS DA SAÚDE,HEALTH SCIENCES GRADUATE PROGRAM,MESTRADO/DOUTORADO,4,1999,1999/2013,EM FUNCIONAMENTO
20,2021,CIÊNCIAS DA SAÚDE,MEDICINA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA,NÃO SE APLICA,16,MEDICINA II,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011070P0,CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL,HEALTH SCIENCES IN THE WESTERN AMAZON,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
111,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SAÚDE E BIOLÓGICAS,SAÚDE E BIOLÓGICAS,NÃO SE APLICA,45,INTERDISCIPLINAR,13001019,789,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RR,BOA VISTA,PROFISSIONAL,13001019007P1,CIÊNCIAS DA SAÚDE,HEALTH SCIENCES POSTGRADUATE PROGRAM,MESTRADO PROFISSIONAL,3,2011,2011,EM FUNCIONAMENTO
213,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016079P8,"SAÚDE, AMBIENTE E SOCIEDADE NA AMAZÔNIA","HEALTH, ENVIRONMENT AND SOCIETY IN AMAZONIA",MESTRADO,3,2014,2014,EM FUNCIONAMENTO
54,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015023P4,HISTÓRIA,HISTORY,MESTRADO/DOUTORADO,4,2006,2006/2019,EM FUNCIONAMENTO
351,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,PROFISSIONAL,20002017008P4,HISTÓRIA,HISTORY,MESTRADO PROFISSIONAL/DOUTORADO PROFISSIONAL,4,2014,2014,EM FUNCIONAMENTO
314,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010024P3,HISTÓRIA,HISTORY AND ATLANTIC CONNECTIONS: CULTURES AND POWERS.,MESTRADO/DOUTORADO,4,2011,2011/2019,EM FUNCIONAMENTO
130,2021,CIÊNCIAS HUMANAS,HISTÓRIA,HISTÓRIA,NÃO SE APLICA,NÃO SE APLICA,40,HISTÓRIA,14001012,830,UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AP,MACAPÁ,ACADÊMICO,14001012159P9,HISTÓRIA,HISTORY GRADUATE PROGRAM,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
118,2021,CIÊNCIAS BIOLÓGICAS,PARASITOLOGIA,PARASITOLOGIA,NÃO SE APLICA,NÃO SE APLICA,9,CIÊNCIAS BIOLÓGICAS III,13009001,NI,FIOCRUZ-CPQLMD,FIOCRUZ ( CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE ),NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,13009001041P0,BIOLOGIA DA INTERAÇÃO PATÓGENO HOSPEDEIRO,HOST-PATHOGENS INTERACTIONS,MESTRADO/DOUTORADO,4,2017,2017/2021,EM FUNCIONAMENTO
134,2021,CIÊNCIAS DA SAÚDE,FISIOTERAPIA E TERAPIA OCUPACIONAL,FISIOTERAPIA E TERAPIA OCUPACIONAL,NÃO SE APLICA,NÃO SE APLICA,21,EDUCAÇÃO FÍSICA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016165P1,CIÊNCIAS DO MOVIMENTO HUMANO,HUMAN MOVEMENT SCIENCES,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
65,2021,CIÊNCIAS DA SAÚDE,EDUCAÇÃO FÍSICA,EDUCAÇÃO FÍSICA,NÃO SE APLICA,NÃO SE APLICA,21,EDUCAÇÃO FÍSICA,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015175P9,CIÊNCIAS DO MOVIMENTO HUMANO,HUMAN MOVEMENT SCIENCES,MESTRADO,A,2021,2021,EM FUNCIONAMENTO
191,2021,ENGENHARIAS,ENGENHARIA MECÂNICA,ENGENHARIA MECÂNICA,NÃO SE APLICA,NÃO SE APLICA,13,ENGENHARIAS III,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016072P3,ENGENHARIA INDUSTRIAL,INDUSTRIAL ENGINEERING,MESTRADO PROFISSIONAL,3,2012,2012,EM FUNCIONAMENTO
37,2021,CIÊNCIAS EXATAS E DA TERRA,CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO,NÃO SE APLICA,NÃO SE APLICA,2,CIÊNCIA DA COMPUTAÇÃO,12001015,4,UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12001015012P2,INFORMÁTICA,INFORMATICS,MESTRADO/DOUTORADO,5,2001,2001/2008,EM FUNCIONAMENTO
178,2021,ENGENHARIAS,ENGENHARIA CIVIL,ENGENHARIA CIVIL,NÃO SE APLICA,NÃO SE APLICA,10,ENGENHARIAS I,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,TUCURUÍ,ACADÊMICO,15001016091P8,ENGENHARIA DE INFRAESTRUTURA E DESENVOLVIMENTO ENERGÉTICO,INFRASTRUCTURE ENGINEERING AND ENERGY DEVELOPMENT,MESTRADO,3,2016,2016,EM FUNCIONAMENTO
275,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,SOCIAIS E HUMANIDADES,SOCIAIS E HUMANIDADES,NÃO SE APLICA,45,INTERDISCIPLINAR,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012015P5,PRESTAÇÃO JURISDICIONAL E DIREITOS HUMANOS,JURISDICTIONAL PROVISION AND HUMAN RIGHTS,MESTRADO PROFISSIONAL,3,2013,2013,EM FUNCIONAMENTO
147,2021,MULTIDISCIPLINAR,INTERDISCIPLINAR,INTERDISCIPLINAR,NÃO SE APLICA,NÃO SE APLICA,45,INTERDISCIPLINAR,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BRAGANÇA,ACADÊMICO,15001016067P0,LINGUAGENS E SABERES NA AMAZÔNIA,LANGUAGE AND KNOWLEDGE IN THE AMAZON,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
163,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016170P5,DIREITO E DESENVOLVIMENTO NA AMAZÔNIA,LAW AND DEVELOPMENT IN THE AMAZON POSTGRADUATE PROGRAM,MESTRADO PROFISSIONAL,A,2021,2021,EM FUNCIONAMENTO
313,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20001010029P5,DIREITO E INSTITUIÇÕES DO SISTEMA DE JUSTIÇA,LAW AND INSTITUTIONS OF JUSTICE SYSTEM,MESTRADO,3,2012,2012,EM FUNCIONAMENTO
287,2021,CIÊNCIAS HUMANAS,EDUCAÇÃO,ENSINO-APRENDIZAGEM,ENSINO-APRENDIZAGEM,NÃO SE APLICA,38,EDUCAÇÃO,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PALMAS,PROFISSIONAL,16003012160P5,EDUCAÇÃO,LEARNING TEACHING,MESTRADO PROFISSIONAL,3,2017,2017,EM FUNCIONAMENTO
289,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,16003012,3849,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,TO,PORTO NACIONAL,ACADÊMICO,16003012159P7,LETRAS,LETTERS,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
28,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,11001011,549,UFAC,UNIVERSIDADE FEDERAL DO ACRE,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,AC,RIO BRANCO,ACADÊMICO,11001011003P0,LETRAS- LINGUAGEM E IDENTIDADE,LETTERS - LINGUAGE AND IDENTITY,MESTRADO/DOUTORADO,4,2006,2006/2019,EM FUNCIONAMENTO
140,2021,CIÊNCIAS SOCIAIS APLICADAS,CIÊNCIA DA INFORMAÇÃO,CIÊNCIA DA INFORMAÇÃO,NÃO SE APLICA,NÃO SE APLICA,31,COMUNICAÇÃO E INFORMAÇÃO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016158P5,CIÊNCIA DA INFORMAÇÃO,LIBRARIAN AND INFORMATION SCIENCE,MESTRADO,3,2017,2017,EM FUNCIONAMENTO
9,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LITERATURA COMPARADA,LITERATURA COMPARADA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018012P7,ESTUDOS LITERÁRIOS,LITERARY STUDIES,MESTRADO,3,2011,2011,EM FUNCIONAMENTO
117,2021,CIÊNCIAS DA SAÚDE,SAÚDE COLETIVA,SAÚDE COLETIVA,NÃO SE APLICA,NÃO SE APLICA,22,SAÚDE COLETIVA,13009001,NI,FIOCRUZ-CPQLMD,FIOCRUZ ( CENTRO DE PESQUISA LEÔNIDAS E MARIA DEANE ),NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,ACADÊMICO,13009001040P4,CONDIÇÕES DE VIDA E SITUAÇÕES DE SAÚDE NA AMAZÔNIA,LIVING CONDITIONS AND HEALTH CONDITIONS IN THE AMAZON,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
171,2021,CIÊNCIAS SOCIAIS APLICADAS,ECONOMIA,FINANÇAS PÚBLICAS INTERNAS,ECONOMIA MONETÁRIA E FISCAL,FINANÇAS PÚBLICAS INTERNAS,28,ECONOMIA,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,PROFISSIONAL,15001016162P2,ECONOMIA APLICADA,MA IN APPLIED ECONOMICS,MESTRADO PROFISSIONAL,A,2019,2019,EM FUNCIONAMENTO
80,2021,CIÊNCIAS AGRÁRIAS,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,CONSERVAÇÃO DA NATUREZA,CONSERVAÇÃO DA NATUREZA,NÃO SE APLICA,42,CIÊNCIAS AGRÁRIAS I,12002011,NI,INPA,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,NÃO,,FEDERAL,PÚBLICA,NÃO INFORMADO,NORTE,AM,MANAUS,PROFISSIONAL,12002011012P9,GESTÃO DE ÁREAS PROTEGIDAS NA AMAZÔNIA,MANAGEMENT OF PROTECTED AREAS OF THE AMAZON,MESTRADO PROFISSIONAL,3,2010,2010,EM FUNCIONAMENTO
141,2021,CIÊNCIAS SOCIAIS APLICADAS,DIREITO,DIREITO,NÃO SE APLICA,NÃO SE APLICA,26,DIREITO,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,PA,BELÉM,ACADÊMICO,15001016003P1,DIREITO,"MASTER AND PHD PROGRAM IN LAW AT FEDERAL UNIVERSITY OF PARÁ, BRAZIL",MESTRADO/DOUTORADO,4,1984,1984/2003,EM FUNCIONAMENTO
332,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,20001010,548,UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,BACABAL,ACADÊMICO,20001010052P7,LETRAS,MASTER DEGREE COURSE IN LANGUAGE AND LITTERATURE,MESTRADO,A,2019,2019,EM FUNCIONAMENTO
17,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018010P4,LETRAS,MASTER DEGREE: MESTRADO ACADÊMICO EM LETRAS,MESTRADO,3,2010,2010,EM FUNCIONAMENTO
4,2021,CIÊNCIAS SOCIAIS APLICADAS,ADMINISTRAÇÃO,ADMINISTRAÇÃO,NÃO SE APLICA,NÃO SE APLICA,27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO",10001018,699,UNIR,UNIVERSIDADE FEDERAL DE RONDÔNIA,NÃO,,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,RO,PORTO VELHO,ACADÊMICO,10001018006P7,ADMINISTRAÇÃO,MASTER IN ADMINISTRATION,MESTRADO,3,2006,2006,EM FUNCIONAMENTO
353,2021,CIÊNCIAS AGRÁRIAS,MEDICINA VETERINÁRIA,MEDICINA VETERINÁRIA,NÃO SE APLICA,NÃO SE APLICA,24,MEDICINA VETERINÁRIA,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,MA,SÃO LUÍS,ACADÊMICO,20002017002P6,CIÊNCIA ANIMAL,MASTER IN ANIMAL SCIENCES,MESTRADO/DOUTORADO,4,2006,2006/2019,EM FUNCIONAMENTO
98,2021,"LINGÜÍSTICA, LETRAS E ARTES",LETRAS,LETRAS,NÃO SE APLICA,NÃO SE APLICA,41,LINGUÍSTICA E LITERATURA,12008010,3172,UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,NÃO,,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORTE,AM,MANAUS,ACADÊMICO,12008010039P6,LETRAS E ARTES,MASTER IN ARTS AND LETTERS,MESTRADO,3,2015,2015,EM FUNCIONAMENTO
